#count number_of_seqs length_ofalignment
1 2977 2140
2 2895 1930
3 2830 1646
4 2778 1472
5 2733 1271
6 2692 1189
7 2660 1269
8 2627 1116
9 2607 1102
10 2588 1102
11 2575 1078
12 2558 1060
13 2540 1073
14 2525 1137
15 2516 979
16 2507 1002
17 2500 1014
18 2496 984
19 2495 1001
20 2492 1029
21 2483 1027
22 2478 1006
23 2473 1013
24 2463 968
25 2461 987
26 2459 994
27 2451 1031
28 2441 968
29 2431 1011
30 2427 945
31 2422 936
32 2415 903
33 2412 908
34 2409 927
35 2407 896
36 2402 856
37 2397 908
38 2389 875
39 2386 883
40 2383 897
41 2381 872
42 2378 926
43 2375 948
44 2371 944
45 2368 937
46 2366 918
47 2364 933
48 2361 946
49 2359 909
50 2358 954
51 2353 904
52 2351 862
53 2304 840
54 2297 874
55 2291 840
56 2286 798
57 2284 865
58 2281 833
59 2255 797
60 2249 712
61 2247 748
62 2246 766
63 2245 768
64 2244 737
65 2243 775
66 2242 763
67 2230 755
68 2227 755
69 2226 744
70 2225 715
71 2220 757
72 2218 744
73 2212 740
74 2210 738
75 2208 697
76 2207 698
77 2206 722
78 2204 733
79 2202 711
80 2201 738
81 2191 695
82 2184 697
83 2176 685
84 2164 736
85 2161 713
86 2160 711
87 2152 705
88 2150 711
89 2148 665
90 2144 703
91 2142 706
92 2140 614
93 2136 696
94 2134 714
95 2133 692
96 2129 635
97 2111 639
98 2109 639
99 2108 626
100 2105 615
101 2104 642
102 2103 656
103 2102 643
104 2084 647
105 2081 624
106 2079 629
107 2078 619
108 2076 591
109 2073 623
110 2064 651
111 2062 642
112 2061 615
113 2060 614
114 2058 613
115 2046 620
116 2044 615
117 2040 606
118 2031 613
119 2030 613
120 2024 623
121 2018 608
122 2017 577
123 2014 622
124 2013 626
125 2011 606
126 2009 620
127 2007 616
128 2005 577
129 1993 603
130 1992 597
131 1986 610
132 1984 614
133 1983 614
134 1981 612
135 1969 593
136 1963 575
137 1962 573
138 1958 578
139 1953 593
140 1949 605
141 1946 579
142 1943 574
143 1937 622
144 1935 614
145 1933 615
146 1931 587
147 1930 580
148 1927 578
149 1900 565
150 1898 563
151 1897 560
152 1893 523
153 1889 540
154 1883 540
155 1882 539
156 1878 547
157 1877 546
158 1875 549
159 1874 519
160 1872 553
161 1866 525
162 1865 525
163 1864 512
164 1861 548
165 1860 522
166 1858 506
167 1857 502
168 1854 498
169 1850 494
170 1820 510
171 1818 478
172 1810 456
173 1806 468
174 1804 474
175 1803 497
176 1802 510
177 1800 524
178 1799 537
179 1797 489
180 1791 474
181 1787 471
182 1772 471
183 1770 466
184 1766 512
185 1765 510
186 1756 473
187 1754 498
188 1753 496
189 1750 487
190 1747 481
191 1744 477
192 1741 480
193 1717 511
194 1711 503
195 1709 496
196 1705 493
197 1695 468
198 1690 485
199 1687 441
200 1685 441
201 1683 455
202 1680 431
203 1679 431
