#count number_of_seqs length_ofalignment
1 756 1344
2 709 892
3 681 677
4 660 630
5 645 567
6 641 529
7 637 551
8 636 545
9 633 540
10 632 541
11 628 528
12 621 507
13 619 493
14 603 473
15 600 470
16 599 466
17 595 471
18 592 459
19 587 461
20 584 455
21 580 445
22 579 463
23 577 449
24 576 450
25 572 444
26 570 444
27 558 443
28 557 459
29 555 443
30 553 442
31 551 439
32 545 432
33 537 430
34 534 425
35 528 423
36 526 434
37 525 434
38 509 410
