#count number_of_seqs length_ofalignment
1 1607 441
2 1585 351
3 1571 319
4 1562 334
5 1545 293
6 1534 300
7 1525 297
8 1522 307
9 1515 294
10 1505 292
11 1501 316
12 1494 291
13 1488 278
14 1485 292
15 1480 306
16 1469 301
17 1463 288
18 1461 259
19 1459 263
20 1441 269
21 1437 248
22 1432 261
23 1425 228
24 1419 224
25 1414 226
26 1413 233
27 1409 244
28 1405 238
29 1404 226
30 1403 247
31 1402 245
32 1399 233
33 1398 218
34 1396 235
35 1395 234
36 1387 212
37 1384 223
38 1379 230
39 1378 216
40 1375 231
41 1372 215
42 1371 232
43 1369 219
44 1345 212
45 1342 209
46 1341 217
47 1340 227
48 1337 215
49 1333 221
50 1325 214
51 1323 205
52 1322 207
53 1321 206
54 1315 219
55 1312 222
56 1310 199
57 1308 216
58 1307 208
59 1306 221
60 1305 220
61 1299 202
62 1298 194
63 1296 207
64 1295 194
65 1294 192
66 1292 187
67 1289 199
68 1288 188
69 1287 213
70 1285 194
71 1284 188
72 1283 187
73 1279 180
74 1278 199
75 1276 189
76 1270 182
77 1269 195
78 1268 189
79 1262 212
80 1260 210
81 1254 168
82 1248 191
83 1247 185
84 1246 182
85 1242 172
86 1241 168
87 1239 168
88 1237 172
89 1236 170
90 1234 168
91 1230 161
92 1226 168
93 1222 170
94 1221 187
95 1220 176
96 1219 165
97 1211 172
98 1208 164
99 1207 167
100 1206 164
101 1204 170
102 1201 169
103 1189 161
104 1188 159
105 1185 156
106 1184 154
107 1180 162
108 1179 152
109 1173 146
110 1153 151
111 1138 167
112 1136 154
113 1134 182
114 1133 162
115 1132 161
116 1128 163
117 1124 171
118 1122 156
119 1121 154
120 1117 161
121 1116 146
122 1114 147
123 1112 152
124 1111 145
125 1110 138
126 1109 137
127 1100 155
128 1096 138
129 1093 162
130 1092 143
131 1091 145
132 1088 140
133 1087 136
134 1085 134
135 1084 145
136 1083 141
137 1079 143
138 1077 129
139 1076 128
140 1072 137
141 1069 138
142 1067 134
143 1063 130
144 1062 137
145 1061 130
146 1059 132
147 1058 126
148 1056 124
149 1055 123
150 1053 118
151 1045 122
152 1044 124
153 1041 124
154 1039 128
155 1036 124
156 1030 128
157 1029 124
158 1025 123
159 1024 122
160 1020 122
161 1018 129
162 1016 117
163 1004 122
164 1003 127
165 999 111
166 992 116
167 986 119
168 983 105
169 976 105
170 967 110
171 960 109
172 952 109
173 946 109
174 943 108
175 935 115
176 931 102
177 927 108
178 915 103
179 907 104
180 901 108
181 887 107
182 875 105
183 874 105
184 867 103
185 854 99
186 851 104
187 846 103
188 845 102
189 841 112
190 828 106
191 827 105
192 825 108
193 820 107
194 819 100
195 808 101
196 805 100
197 790 106
198 788 101
199 784 105
200 783 102
201 779 94
202 771 93
203 746 90
204 736 94
205 732 104
206 727 103
207 725 101
208 722 100
209 720 97
210 719 93
211 715 93
212 714 91
213 707 91
214 699 90
215 698 93
216 696 90
217 688 88
218 687 88
