#count number_of_seqs length_ofalignment
1 3905 1385
2 3839 966
3 3801 883
4 3764 752
5 3740 740
6 3715 735
7 3700 657
8 3691 656
9 3683 657
10 3675 695
11 3664 624
12 3655 597
13 3652 625
14 3643 664
15 3635 655
16 3632 631
17 3627 611
18 3624 587
19 3620 628
20 3615 610
21 3611 600
22 3607 581
23 3603 592
24 3601 616
25 3599 610
26 3573 566
27 3563 529
28 3560 529
29 3556 525
30 3553 508
31 3549 524
32 3548 520
33 3538 552
34 3528 525
35 3527 514
36 3517 544
37 3514 554
38 3509 548
39 3507 531
40 3506 529
41 3496 508
42 3495 522
43 3494 500
44 3493 490
45 3490 488
46 3489 490
47 3487 503
48 3485 532
49 3483 513
50 3482 502
51 3481 532
52 3467 530
53 3464 537
54 3459 516
55 3455 510
56 3447 495
57 3446 477
58 3443 482
59 3435 459
60 3433 470
61 3432 471
62 3428 502
63 3426 484
64 3420 451
65 3418 480
66 3415 455
67 3409 445
68 3407 448
69 3406 449
70 3404 443
71 3402 472
72 3399 455
73 3397 444
74 3396 433
75 3384 452
76 3382 469
77 3381 479
78 3379 478
79 3370 448
80 3365 432
81 3364 417
82 3363 430
83 3362 459
84 3356 438
85 3355 433
86 3346 432
87 3342 407
88 3340 437
89 3336 453
90 3332 432
91 3331 423
92 3330 422
93 3318 419
94 3314 413
95 3312 394
96 3310 412
97 3309 416
98 3303 435
99 3299 401
100 3298 415
101 3297 395
102 3291 412
103 3288 399
104 3260 394
105 3258 383
106 3257 381
107 3251 366
108 3248 366
109 3245 360
110 3241 363
111 3239 365
112 3234 361
113 3204 376
114 3202 356
115 3201 361
116 3198 369
117 3194 369
118 3193 363
119 3191 357
120 3189 356
121 3185 368
122 3182 358
123 3178 354
124 3174 356
125 3171 358
126 3170 356
127 3165 355
128 3160 364
129 3155 367
130 3152 353
131 3151 332
132 3150 345
133 3142 357
134 3141 355
135 3137 327
136 3136 347
137 3135 338
138 3132 335
139 3128 331
140 3116 335
141 3114 357
142 3112 330
143 3111 339
144 3106 336
145 3088 350
146 3086 327
147 3080 327
148 3074 304
149 3067 305
150 3051 300
151 3047 307
152 3046 304
153 3041 319
154 3040 329
155 3028 321
156 3020 317
157 3014 316
158 3007 316
159 3003 313
160 3002 312
161 2998 309
162 2992 309
163 2985 319
164 2984 315
165 2982 315
166 2976 333
167 2974 309
168 2971 298
169 2970 297
170 2934 292
171 2931 289
172 2922 299
173 2915 301
174 2914 299
175 2904 298
176 2903 296
177 2892 284
178 2878 276
179 2873 294
180 2871 282
181 2863 277
182 2862 274
183 2832 281
184 2830 274
185 2825 293
186 2824 279
187 2822 292
188 2821 293
189 2817 279
190 2815 271
191 2808 271
192 2806 281
193 2804 266
194 2793 267
195 2777 274
196 2772 283
197 2771 279
198 2767 280
199 2751 274
200 2739 272
201 2722 270
202 2714 269
203 2712 268
204 2709 267
205 2689 262
206 2660 261
207 2643 263
208 2621 267
209 2609 269
210 2608 263
211 2606 268
212 2605 267
213 2604 262
214 2594 263
215 2592 260
216 2590 262
217 2574 262
218 2545 261
219 2541 267
220 2540 260
221 2536 259
222 2516 254
223 2473 259
224 2471 264
225 2470 260
226 2469 253
227 2466 251
228 2443 260
229 2441 254
230 2439 253
231 2437 250
232 2434 247
233 2395 260
234 2390 254
235 2387 252
236 2378 246
237 2377 245
238 2299 243
239 2275 242
