#count number_of_seqs length_ofalignment
1 671 561
2 642 471
3 623 375
4 612 356
5 604 339
6 596 319
7 591 324
8 588 305
9 582 333
10 575 317
11 573 296
12 570 292
13 567 305
14 564 293
15 563 304
16 558 299
17 555 296
18 553 291
19 543 274
20 542 273
21 530 270
22 529 275
23 528 275
24 526 265
25 522 282
26 519 274
